name,ring,quadrant,isNew,status,description
"Astro","Hold","Languages & Frameworks",true,"New","<p><strong><a href='https://astro.build/'>Astro</a></strong> Framework agnostic metaframework for building frontend applications</p>"
"Blazor","Trial","Languages & Frameworks","","No Change","<p><strong><a href='https://dotnet.microsoft.com/en-us/apps/aspnet/web-apps/blazor'>Blazor</a></strong> Blazor is a modern front-end web framework based on HTML, CSS, and C# that helps you build web apps faster. With Blazor, build web apps using reusable components that can be run from both the client and the server so that you can deliver great web experiences.</p>"
"DW Core","Adopt","Languages & Frameworks","","Moved In","<p><strong><a href='#'>DW Core</a></strong> DW Core is a new frontend framework for DW 10 being developed by twoday DX in cooperation with DynamicWeb</p>"
"Next","Hold","Languages & Frameworks",true,"New","<p><strong><a href='https://nextjs.org/'>Next</a></strong> React based metaframework for building frontend applications</p>"
"DW Swift 2","Trial","Languages & Frameworks","","Moved In","<p><strong><a href='https://doc.dynamicweb.dev/swift/getting-started/index.html'>DW Swift 2</a></strong> Swift 2 is Dynamic Webs Configurable frontend for DW based solutions</p>"
"Shopify","Trial","Platforms","","No Change","<p><strong><a href='https://www.shopify.com/dk'>Shopify</a></strong> Shopify is a full service commerce platform offering site setup, page editor, domain services commerce management, martech, tracking etc</p>"
"Norce","Hold","Platforms",true,"New","<p><strong><a href='https://www.norce.io/'>Norce</a></strong> Norce Commerce is a composable, headless, SaaS platform for digital commerce, powered by human expertise. We empower companies with advanced needs to accelerate their digital commerce.</p>"
"Azure Integration Services","Adopt","Platforms","","No Change","<p><strong><a href='https://azure.microsoft.com/en-us/products/category/integration'>Azure Integration Services</a></strong> Azure Integration Services (AIS) is a comprehensive platform provided by Microsoft Azure for performing mission-critical integrations and connecting applications, data, and services across cloud and on-premises environments16. This serverless compute experience drives efficiency and consistency in application connectivity, offering a flexible and scalable solution for various integration scenarios</p>"
"Webflow","Assess","Platforms",true,"New","<p><strong><a href='https://webflow.com/'>Webflow</a></strong> A visual page builder and CMS tool with native tools for personalization, A/B testing and localization.</p>"
"Relewize","Assess","Platforms",true,"Moved In","<p><strong><a href='https://www.relewise.com'>Relewize</a></strong> Relewise Search delivers a personalized product and content discovery that automatically ensures an uninterrupted user journey guiding customers directly to the products or information they are looking for and always understanding user's intent.</p>"
"Umbraco Heartcore","Assess","Platforms",true,"New","<p><strong><a href='https://umbraco.com/products/umbraco-heartcore/'>Umbraco Heartcore</a></strong> Umbraco Heartcore is Umbracos SaaS based hedless CMS offering</p>"
"Shopify Plus","Hold","Platforms",true,"New","<p><strong><a href='https://www.shopify.com/dk/plus'>Shopify Plus</a></strong> Headless commerce platform focusing on integration setups, commerce management etc.</p>"
"Sanity CMS","Assess","Platforms",true,"New","<p><strong><a href='https://sanity.io'>Sanity CMS</a></strong> Sanityis a Norwegian headless CMS startup building a cloud first headless CMS based on frontend technologies</p>"
"Netlify","Hold","Platforms",true,"New","<p><strong><a href='https://www.netlify.com/'>Netlify</a></strong> Netlify is a hosting platform that instantly build and deploy your sites to their global network from Git. Custom domains, https, deploy previews, rollbacks and much more.</p>"
"Cloudinary","Hold","Platforms",true,"New","<p><strong><a href='https://cloudinary.com/'>Cloudinary</a></strong> Image & Video hosting service with built in optimization services. Added DAM-like capabilities with AI infused tools around media.</p>"
"Vercel","Hold","Platforms",true,"New","<p><strong><a href='https://vercel.com/'>Vercel</a></strong> Vercel provides the developer tools and cloud infrastructure to build, scale, and secure a faster, more personalized web.</p>"
"Elastic Search","Assess","Platforms",true,"New","<p><strong><a href='https://www.elastic.co/elasticsearch'>Elastic Search</a></strong> Elasticsearch is an open source distributed, RESTful search and analytics engine, scalable data store, and vector database capable of addressing a growing number of use cases. As the heart of the Elastic Stack, it centrally stores your data for lightning-fast search, fineâ€‘tuned relevancy, and powerful analytics that scale with ease.</p>"
"Commerce Layer","Hold","Platforms",true,"New","<p><strong><a href='https://commercelayer.io/'>Commerce Layer</a></strong> Commerce Layer is a headless commerce platform that makes it easy to bring any stock online. You don't even need a website. It only takes a few days to transform your business forever. </p>"
"Umbraco Engage","Assess","Platforms",true,"Moved In","<p><strong><a href='https://umbraco.com/products/add-ons/engage/'>Umbraco Engage</a></strong> Optimize user engagement and drive conversions with server-side analytics, A/B testing, profiling, and personalization. All you need to deliver optimized content and tailored digital experiences. </p>"
"Portable Text","Hold","Techniques",true,"New","<p><strong><a href='https://github.com/portabletext/portabletext'>Portable Text</a></strong> Portable Text is an agnostic abstraction of rich text that can be serialized into pretty much any markup language, be it HTML, Markdown, SSML, XML, etc. It's designed to be efficient for real-time collaborative interfaces, and makes it possible to annotate rich text with additional data structures recursively.</p>"
"Headless CMS","Assess","Techniques",true,"New","<p><strong><a href='#'>Headless CMS</a></strong> An enabling technology when building content supposed to be incorporated on sites with separate content sources, in environments where content is supposed to be published in multiple channels or for apps that only needs lists of short content snippets</p>"
"API testing","Assess","Techniques",true,"Moved In","<p><strong><a href='#'>API testing</a></strong> API testing automates testing Web API's, which in turn enables regression- and smoke-testing as well as monitoring API's with the right tooling setup.</p>"
"Frontend E2E testing","Assess","Techniques",true,"Moved In","<p><strong><a href='#'>Frontend E2E testing</a></strong> Frontend E2E testing aids in regression- and smoke-testing websites. </p>"
"Frontend metaframeworks","Hold","Techniques",true,"New","<p><strong><a href='#'>Frontend metaframeworks</a></strong> Metaframeworks is used for building pure frontend applications and typically functions as build tools building Static Sites, Server Side Rendered sites, Single Page Applications and Multi Page applications.</p>"
"Personalization","Trial","Techniques",true,"Moved In","<p><strong><a href='#'>Personalization</a></strong> Content personalization according to various parameters known about the user.</p>"
"Digital Asset Management","Hold","Techniques",true,"New","<p><strong><a href='#'>Digital Asset Management</a></strong> Systems and processes for managing, exposing and using digital assets like videos, images documents</p>"
"Headless Commerce","Assess","Techniques",true,"New","<p><strong><a href='#'>Headless Commerce</a></strong> An enabling technology for implementing commerce functionality on websites based on CMS's without commerce functionality or on webshops based on headless setups</p>"
"Bruno API Client","Assess","Tools",true,"New","<p><strong><a href='https://www.usebruno.com/'>Bruno API Client</a></strong> Is a new'ish API client designed for teams collaborating on Web API's, it supports both REST and GraphQL based apis, and stores request collections as source code in your projects</p>"
"Umbraco Commerce","Assess","Tools","","No Change","<p><strong><a href='https://umbraco.com/products/add-ons/commerce/'>Umbraco Commerce</a></strong> Umbraco Commerce is a plugin based commerce tool for Umbraco setups. Able to function as a headless commerce setup along the headless capabilities of Umbraco</p>"
"Penpot","Assess","Tools",true,"New","<p><strong><a href='https://penpot.app/'>Penpot</a></strong> Penpot is the web-based open-source design tool that bridges \nthe gap between designers and developers. It can run through a SaaS offering from Penpot setup or self-hosted on your own server</p>"
"Cypress ","Assess","Tools","","Moved In","<p><strong><a href='https://www.cypress.io/'>Cypress </a></strong> With Cypress, you can easily create tests for your modern web applications, debug them visually, and automatically run them in your continuous integration builds. </p>"